SITE_ID,YEAR,VISIT_NO,SAMPLED,DATE_COL,DATECHEM,TEAM_ID,SAMP_LOC,PHSTVL,PHSTVLF,COND,CONDF,ANC,ANCF,TURB,TURBF,TSS,TSSF,COLOR,COLORF,DOC,DOCF,DIC,DICF,PTL,PTLF,SE,SEF,CA,CAF,MG,MGF,NA,NAF,K,KF,NH4,NH4F,SO4,SO4F,NO3,NO3F,CL,CLF,NTL,NTLF,ZN,ZNF,SIO2,SIO2F,H,OH,HCO3,CO3,ALKCALC,CATSUM,ANSUM,ANDEF,SOBC,IONSTR,BALANCE,ORGION,CONCAL,CONDHO,DAY_SHIP,COM_LAB,COM_FLD,COM_IM ,NtoP,NO3toP
WWYP99-0606,2001,1,Yes,08/20/2001,08/20/2001,1,A,8.14, ,2244, ,5717.8, ,13.5, ,29.2, ,15, ,5.72, ,60.65,H4,2549,H58,1,H196,6663.4,H221,6212.4,H218,9961,H206,329.3,H198,30.4, ,10493.1,H10,75602.8,H10,6972.5,H10,18775,H58,51,H222,14.23, ,0.007,1.38,4937.486,63.903,5002.43,23194.57,23687.76,-493.19,23166.11,0.059,-1.05,56.99,2933.7,2306.15,2, , ,  ,7.365633582,0.47838368
WWYP99-0607,2001,1,Yes,07/27/2001,07/27/2001,1,F,8.31, ,269, ,1911.2, ,1.29, ,0.6, ,5, ,1.07, ,20.57,H4,20, ,0,H215,1431.3,H246,555.6,H236,771.2,H224,37,H220,0.3, ,952.7,H13,223.2,H11,15.5,H11,109, ,8,H246,19.7, ,0.005,2.042,1678.165,32.126,1712.23,2795.33,2684.14,111.19,2795.06,0.007,2.03,10.67,310.89,262.44,3, , ,  ,5.45,0.18
WWYP99-0608,2001,1,Yes,08/17/2001,08/17/2001,1,X,8.23,H4,170, ,1723.5, ,0.445,H5,0.5, ,10,H5,2.87, ,20.73,H5,32, ,0,H199,843.2,H224,543.3,H215,418.8,H207,33.1,H200,0.4, ,63.9,H11,0,H11,21.2,H11,125, ,17,H225,25.24, ,0.006,1.698,1690.196,26.913,1718.7,1838.78,1803.88,34.91,1838.45,0.004,0.96,28.61,186.52,176.38,4,Broken tip on pH syringe, ,  ,3.90625,0
WWYP99-0609,2001,1,Yes,08/09/2001,08/09/2001,1,X,8.6,H4,548, ,4958.1, ,2.78,H4,8.3,H18,10,H4,2.48, ,53.21,H7,16,H35,1,H203,1623.3,H232,548,H223,4059.1,H217,30.7,H208,0.4, ,1036.6, ,0, ,115.1, ,149,H35,10,H233,7.41, ,0.003,3.981,4325.25,161.447,4490.41,6261.46,5642.39,619.07,6261.16,0.011,5.2,24.76,627.31,538.32,2, , ,  ,9.3125,0
WWYP99-0610,2001,1,Yes,08/23/2001,08/23/2001,1,E,8.37,H4,553, ,2778.2, ,0.358,H4,0.1, ,10,H4,2.37, ,33.8,H5,7,H41,3,H193,3356.4,H218,2320.2,H209,450.9,H201,63.5,H194,0.4, ,3166.7, ,0, ,107.5, ,209,H41,12,H219,8.43, ,0.004,2.344,2757.519,60.609,2820.3,6191.31,6094.66,96.65,6190.92,0.019,0.79,23.64,738.76,584.79,2, , ,  ,29.85714286,0
WWYP99-0612,2001,1,Yes,08/16/2001,08/16/2001,1,X,8.4,H4,60,H8,518.2, ,0.998,H4,2.6, ,5,H4,0.9, ,5.54,H4,3, ,0,H196,328.2,H225,161.7,H215,83,H227,22.8,H201,0.3, ,68.3,H12,179.8,H12,8.2,H12,115, ,16,H226,5.42,H8,0.004,2.512,451.908,10.643,465.05,595.98,544.39,51.59,595.72,0.001,4.52,8.98,61.58,57.49,4,"No syringes; pH from cubitainer, DIC from filtered, unpreserved split", ,  ,38.33333333,0.966666667
WWYP99-0613,2001,1,Yes,08/03/2001,08/03/2001,1,X,8.42, ,743, ,7279.6, ,4.5, ,12.8, ,15, ,2.54, ,70.86,H7,10, ,0,H208,3228.5,H239,4047.3,H229,1800.8,H223,47.4,H213,0.3, ,1851.7,H19,0, ,324.7,H11,121, ,11,H239,24, ,0.004,2.63,5779.315,142.526,5924.09,9124.25,8100.85,1023.4,9124,0.023,5.94,25.34,940.68,809.3,1,Leak in cubitainer, ,  ,12.1,0
WWYP99-0614,2001,1,Yes,08/22/2001,08/22/2001,1,X,7.97, ,271, ,2482.3, ,0.504, ,3.8, ,10, ,1.48, ,29.55, ,7,H41,0,H194,1955.9,H219,643.9,H210,292.4,H202,38.2,H195,0.4, ,390.6, ,223.2, ,49.4, ,141,H41,11,H220,16.52, ,0.011,0.933,2392.295,20.933,2413.99,2930.74,2857.67,73.06,2930.39,0.007,1.26,14.73,311.28,282.98,2, , ,  ,20.14285714,0.514285714
WWYP99-0615,2001,1,Yes,09/12/2001,09/12/2001,1,F,8.38, ,711, ,4579.8, ,4.87, ,65.4, ,5, ,1.43, ,48.58,H9,89, ,1, ,4369.2,H198,2908.6,H191,865.7,H183,23.1, ,0.4, ,3560.2, ,0, ,84.1, ,113, ,16,H199,4.21, ,0.004,2.399,3963.176,89.138,4054.46,8166.9,7698.99,467.92,8166.58,0.024,2.95,14.27,933.31,748.97,2, , ,  ,1.269662921,0
WWYP99-0616,2001,1,Yes,09/14/2001,09/14/2001,1,F,8.25,H5,602, ,3819.9, ,0.427,H4,0.5, ,0,H4,1.28, ,43.29,H7,2,H33,0, ,4515.3,H197,1381.9,H189,191.7, ,33.4, ,0.6, ,1762.2, ,130.2, ,24.5, ,79,H33,7,H197,5.19,H14,0.006,1.778,3530.362,58.862,3590.77,6122.84,5379.89,742.95,6122.24,0.017,6.46,12.76,658.4,558.05,4, , ,  ,39.5,1.05
WWYP99-0651,2002,1,Yes,08/14/2002,08/14/2002,1,F,7.92, ,76,H258,645.4, ,0.39,H5,2.84, ,0,H5,0.77, ,7.35, ,9, ,0.1,H575,518, ,204, ,40.8, ,9.4, ,0.7, ,93.5,H22,353.4,H22,5.9,H22,181, ,0,H238,3.7,H9,0.012022644,0.831763771,593.8655309,4.631342339,599.2839463,772.8787786,704.444897,68.43388161,772.181426,0.001968797,2.316143806,7.646714821,79.65493266,74.252791,2, , ,  ,20.11111111,0.633333333
WWYP99-0652,2002,1,Yes,07/08/2002,07/08/2002,1,F,7.69,H7,2757,H9,5257.4,H9,0.66,H7,0.4,H16,5,H7,3.52, ,59.68,H8,6, ,18,H607,23837.2, ,10982.8, ,2617.3, ,257.8, ,1.4, ,34088.8,H64,6330.2,H52,368.7,H63,1735, ,0,H274,17.24, ,0.020417379,0.489778819,4740.707877,21.77017702,4762.625892,37696.52444,39322.50215,-1625.977717,37695.11043,0.141905435,-1.055568857,34.90732448,5124.907968,3404.955802,4, ,NO CONDUCTIVITY OR DO.,  ,289.1666667,17.01666667
WWYP99-0653,2002,1,Yes,07/13/2002,07/13/2002,1,F,8.28,H4,1884,H290,2492.3,H10,1.59,H4,5.16, ,0,H4,1.24, ,31.38, ,5, ,0,H605,18567.8, ,5830, ,806.5, ,38.9, ,0.9, ,23603,H62,930,H48,142.7,H48,395, ,0,H270,19.94,H9,0.005248075,1.905460718,2559.509996,45.72730385,2606.978634,25244.09421,26367.86642,-1123.772206,25243.2418,0.097875845,-1.088674206,12.37744886,3474.179351,2325.936817,3, , ,  ,79,3
WWYP99-0655,2002,1,Yes,07/18/2002,07/18/2002,1,F,8.56,H5,340, ,3170,H8,1.39,H5,1.84, ,10,H5,1.74, ,38.46,H5,30, ,0,H617,2715.6, ,909, ,78.7, ,13.7, ,0.9, ,578.8,H53,86.8,H43,18.9,H43,182, ,0,H265,5.49, ,0.002754229,3.630780548,3129.456559,106.5338674,3239.434675,3717.723861,3838.743026,-121.0191651,3716.99632,0.010243091,-0.800765536,17.4132949,409.886458,365.1320738,2, ,PUT ON ICE WITHIN HALF HOUR OF COLLECTION.,  ,6.066666667,0.046666667
WWYP99-0656,2002,1,Yes,07/17/2002,07/17/2002,1,X,7.61,H6,25,H12,180.9,H12,0.598,H8,2.76, ,8,H6,1.24, ,2.1,H6,3, ,0,H602,141.1, ,58.9, ,27.5, ,17.1, ,0.5, ,45.8,H44,130.2,H44,7.1,H44,137, ,0,H266,1.61, ,0.024547089,0.407380278,165.6247534,0.632621591,166.6328843,245.1245938,221.6619553,23.46263854,244.610316,0.000603076,2.513208509,12.31959499,26.04108178,23.95050157,5, ,PUT ON ICE AFTER HIKE OUT - 3 HOURS AFTER COLLECTION.,  ,45.66666667,0.7
WWYP99-0657,2002,1,Yes,08/07/2002,08/07/2002,1,F,7.29,H6,18, ,133.8, ,0.229,H5,0.28, ,5,H8,0.91,H15,1.59,H6,3, ,0.2,H582,111.8, ,23, ,25.6, ,8.8, ,0.4, ,26.9,H28,130.2,H28,4.8,H28,131, ,3.9,H245,1.35,H9,0.051286138,0.19498446,118.7262045,0.217052779,119.080747,169.7530787,152.9327617,16.82031691,169.277598,0.000404245,2.606299193,8.925468049,17.85415429,16.62910756,5, , ,  ,43.66666667,0.7
WWYP99-0659,2002,1,Yes,07/31/2002,07/31/2002,1,F,8.21, ,558, ,4610.5, ,2.54,H5,0.08, ,5, ,0.91, ,51.81,H6,26, ,0.9,H589,4171.1, ,2092.8, ,135.3, ,24.9, ,0.6, ,2021.2,H44,1240,H34,20,H34,351, ,0,H252,11.55,H9,0.00616595,1.621810097,4222.75959,64.21184113,4288.310296,6424.76889,6349.814302,74.9545879,6424.168514,0.018911324,0.293373908,9.095551097,724.965122,608.8426352,2, , ,  ,13.5,0.769230769
WWYP99-0660,2002,1,Yes,07/11/2002,07/11/2002,1,F,7.69,H4,162, ,1579,H9,4.03,H5,21.28, ,20,H5,4.43, ,19.22,H6,56, ,0,H624,1007.5, ,392.1, ,278, ,19.1, ,1.7, ,87.2,H50,86.8,H50,31.6,H50,401, ,56.4,H272,13.25, ,0.020417379,0.489778819,1526.944499,7.012001774,1534.325622,1698.343446,1654.7006,43.64284652,1696.65072,0.003917221,0.650794411,43.95395333,174.1739052,164.6808716,2, ,TOOK SAMPLE 5-10 FEET UPSTREAM FROM TRANSECT F TO GET ENOUGH DEPTH AND FLOW.,  ,7.160714286,0.025
WWYP99-0661,2002,1,Yes,07/12/2002,07/12/2002,1,F,7.4,H5,219, ,2166.8,H11,2.76,H5,35.72, ,10,H5,3.13, ,29.19,H4,143, ,0,H606,1461.6, ,533.2, ,325, ,38.6, ,1.7, ,86.2,H49,130.2,H49,44.8,H49,419, ,0,H271,19.62,H10,0.039810717,0.251188643,2228.514021,5.248487128,2233.823203,2360.020576,2367.197737,-7.177160327,2358.288708,0.00549286,-0.075913146,30.88493487,244.4785657,230.9144159,4, , ,  ,2.93006993,0.014685315
WWYP99-0662,2002,1,Yes,08/13/2002,08/13/2002,1,F,7.65, ,111, ,1017.3, ,1.01, ,9.24, ,5, ,1.49, ,12.44, ,14, ,0.3,H576,750, ,289.7, ,104.7, ,14.4, ,0.4, ,118,H22,0,H22,8.7,H22,158, ,0,H239,5.7, ,0.022387211,0.446683592,984.4983872,4.123194051,988.9825768,1159.099989,1115.861525,43.23846409,1158.728468,0.002880213,0.950311991,14.74938635,120.5839353,112.6683825,2, ,SAMPLES ON ICE TWO HOURS AFTER COLLECTION. FOUR MILE HIKE OUT TO THE TRUCK.,  ,11.28571429,0
WWYP99-0665,2002,1,Yes,07/09/2002,07/09/2002,1,F,8.08,H6,1982,H8,3835.3,H8,2.82,H6,22.28,H15,10,H6,3.24, ,42.64, ,29, ,0,H606,18133.7, ,6392.6, ,1263.2, ,174.4, ,1.4, ,23478.7,H66,86.8,H51,87.2,H51,338, ,0,H273,20.47, ,0.008317638,1.202264435,3465.844707,39.06860146,3505.87948,25965.15691,27073.41391,-1108.257003,25963.80194,0.098585306,-1.044765145,32.30067074,3535.616769,2387.220924,3, ,NO METER FOR QW PARAMETERS.,  ,11.65517241,0.048275862
WWYP99-0669,2002,1,Yes,08/15/2002,08/15/2002,1,F,7.44,H7,21, ,151, ,0.155,H5,1.16, ,0,H4,2.18, ,1.94,H5,1,H54,0,H575,116, ,31.8, ,39, ,14.9, ,0.6, ,22.9,H21,179.8,H21,7.1,H21,104,H54,0.7,H237,2.82,H8,0.036307806,0.27542287,149.1955973,0.385278499,149.8124872,202.3115953,182.6653987,19.64619664,201.711944,0.0004492,2.551606583,21.54817833,20.98113258,19.85708268,4,Low volume of water in cubitainer., ,  ,104,2.9
WWYP99-0670,2002,1,Yes,07/29/2002,07/29/2002,1,F,8.12, ,2405,H274,2743.6, ,30.2, ,68.2, ,10, ,1.61, ,34.74,H4,75, ,0,H611,20943, ,6634.6, ,4489, ,143.8, ,0.4, ,32533.5,H46,0,H36,527.2,H42,189, ,0,H254,10.59,H11,0.007585776,1.318256739,2827.019301,34.94198229,2863.089386,32210.76022,35923.98988,-3713.229665,32210.4178,0.124286531,-2.724916184,16.07337309,4603.914448,2996.109471,3, , ,  ,2.52,0
WWYP99-0671,2002,1,Yes,09/04/2002,09/04/2002,1,F,8.07, ,954, ,3077.5, ,399, ,315.8,H15,40, ,10.26, ,36.91,H4,191, ,0.4,H574,2954.6, ,2470.4, ,4191.5, ,275.4, ,10.4, ,6185,H103,1060.2, ,457.5,H99,1494, ,8.2,H218,4.8, ,0.00851138,1.174897555,2999.658451,33.04384477,3033.672927,9901.718,9693.509514,208.2084861,9891.86618,0.027262126,0.531273459,102.2245462,1204.456024,901.8092304,2, ,TURBID.,  ,7.821989529,0.089528796
WWYP99-0707,2003,1,Yes,07/24/2003,07/24/2003,1,K,7.83,H4,50, ,431.9, ,0.554,H4,0.4, ,5,H4,2.05,H21,5.16,H20,3, ,0,H217,289.9, ,102.9, ,82.7, ,17.5, ,0.3,H34,41,H41,0,H41,8.2,H41,109, ,10,H202,9.86, ,0.014791084,0.676082975,414.5319597,2.627706075,417.7991398,493.2981679,467.0308888,26.26727919,493.007176,0.001134801,1.367618683,20.37553082,50.81503834,48.24727375,4, , ,  ,36.33333333,0
WWYP99-0708,2003,1,Yes,07/23/2003,07/23/2003,1,F,8.4,H5,653,H204,3717.9, ,4.83,H5,3.7,H15,10,H5,4.53,H22,45.07,H5,16, ,0,H218,4887.7, ,1911, ,614.2, ,34.7, ,0.6,H35,3342,H48,0,H42,83.2,H42,305, ,14,H203,9.27,H8,0.003981072,2.511886432,3676.439862,86.58571187,3765.301973,7448.104637,7190.77156,257.3330772,7447.593398,0.022660403,0.878937269,45.19450167,869.112882,697.2877688,3, ,X-SITE.,  ,19.0625,0
WWYP99-0710,2003,1,Yes,07/18/2003,07/18/2003,1,F,8.21,H4,146,H10,1324.2, ,0.576,H6,2.5,H17,5,H7,1.43,H25,16.3,H4,26, ,0.1,H221,949.6, ,203.1, ,318.1, ,19.9, ,0.4, ,166.6,H46,130.2,H46,8.5,H46,125, ,0,H208,11.02, ,0.00616595,1.621810097,1328.655175,20.20370641,1350.398554,1491.084042,1527.644191,-36.56014878,1490.74776,0.00351857,-0.605555485,14.25384994,159.6283143,147.4226797,4, ,X-SITE,  ,4.807692308,0.080769231
WWYP99-0713,2003,1,Yes,08/12/2003,08/12/2003,1,F,7.54, ,33, ,246.1, ,1.77, ,1.8, ,10, ,3.69, ,2.91, ,9, ,0,H249,190.6, ,66.1, ,54.9, ,9.2, ,0.4, ,37.7,H23,0,H23,12.1,H23,229, ,0,H183,4.02, ,0.028840315,0.346736851,227.1889367,0.738594288,228.2332671,321.264639,278.0870478,43.17759122,320.884946,0.000742447,3.602024668,36.54387522,32.47487027,30.56925189,2, ,X-SITE.,  ,25.44444444,0
WWYP99-0715,2003,1,Yes,09/23/2003,09/23/2003,1,F,7.62, ,57,H8,362.3,H8,0.251,H6,2,H16,5,H6,0.68,H15,4.3, ,63, ,0.1,H211,275.8, ,169.7, ,100, ,31.6, ,0.3, ,149.1, ,1680.2, ,7.6, ,476, ,0, ,24.08,H8,0.023988329,0.416869384,339.0736366,1.325295703,340.7726468,577.5419741,524.6308217,52.9111524,577.23827,0.001445018,2.400311122,6.742152186,62.4705593,55.6764249,3, ,X-SITE,  ,7.555555556,0.43015873
WWYP99-0716,2003,1,Yes,07/10/2003,07/10/2003,1,F,8.27,H6,397,H8,4214.8, ,1.34,H7,1.1,H15,5,H7,2.29, ,48.84,H12,8, ,0,H229,2840.8,H186,519.3, ,309.7,H181,45.9, ,0.6, ,190.3,H12,0,H12,27.1,H12,198, ,5,H216,7.06, ,0.005370318,1.862087137,3983.66035,69.55063007,4054.809462,3716.196197,4272.445628,-556.2494307,3715.668458,0.009424175,-3.481501881,22.83328166,415.1378471,381.9604816,5, ,X SITE,  ,24.75,0
WWYP99-0717,2003,1,Yes,08/14/2003,08/14/2003,1,F,8.88,H4,269,H182,2503.5, ,1.15,H5,4.2,H15,5,H5,1.24, ,29.7,H5,35, ,1.1,H247,1709.6, ,1043.9, ,79.6, ,16.4, ,1, ,202,H21,1990.2,H21,17.2,H21,679, ,14,H181,12.1,H12,0.001318257,7.58577575,2381.162289,169.3587976,2558.009529,2850.223894,2809.392022,40.83187176,2849.498434,0.007517033,0.36073006,12.38770668,301.2052948,275.7227313,2, ,X-SITE.,  ,19.4,0.917142857
WWYP99-0719,2003,1,Yes,07/22/2003,07/22/2003,1,F,8.58, ,319, ,2990.1, ,2.09, ,18.5, ,10, ,3.16,H23,37.3, ,136, ,0.1,H265,2066.4, ,835.8, ,413.9, ,73.5, ,0.5,H36,307.9,H42,0,H42,90.3,H42,258, ,0,H204,21.81, ,0.002630268,3.801893963,3033.682296,108.1406219,3145.446608,3389.984687,3543.811812,-153.8271248,3389.56231,0.008444243,-1.109256125,31.54630808,368.1116849,335.8310266,2, , ,  ,1.897058824,0
WWYP99-0720,2003,1,Yes,07/21/2003,07/21/2003,1,F,8.48, ,362, ,3962.7, ,15.3, ,48.7, ,15,H4,3.55,H22,46.67,H7,92, ,0.3,H218,2618.8, ,903.3, ,417.4, ,93.9, ,0.6, ,46.2,H43,0,H43,67.7,H43,425, ,15,H205,43.95, ,0.003311311,3.01995172,3803.692092,107.7020871,3914.174606,4033.799033,4028.328931,5.470102208,4033.299682,0.009544964,0.03392468,35.42808127,417.6390988,389.9155427,2, ,X-SITE.,  ,4.619565217,0
WWYP99-0721,2003,1,Yes,09/25/2003,09/25/2003,1,X,8.17,H4,301, ,2901.2, ,0.165,H5,0.8, ,0,H4,1.16, ,35.67,H5,12, ,0,H209,951.1, ,1389.4, ,1128.8, ,49.7, ,0.2,H29,449.9,H13,0, ,12.4, ,68, ,0, ,30.02,H21,0.00676083,1.479108388,2905.651196,40.29602846,2947.232948,3519.176918,3409.757173,109.4197444,3518.970768,0.007710591,0.789585692,11.55993655,359.7246921,323.8844226,2, ,X-SITE,  ,5.666666667,0
WWYP99-0722,2003,1,Yes,07/08/2003,07/08/2003,1,G,8.41, ,2614, ,2917.1, ,3.36, ,4.8, ,25, ,8.25, ,35.28, ,39, ,0.1,H288,3358.8, ,2369.2, ,21996.9, ,62, ,1.4, ,17748.6,H15,396.8, ,5489.7,H15,856, ,0,H218,6.41, ,0.003890451,2.570395783,2877.653474,69.35172388,2949.396461,27788.22207,26194.36807,1593.853992,27786.95332,0.062310231,1.476266689,82.31117352,3404.215405,2340.90581,1, ,X SITE DRY.,  ,21.94871795,0.164102564
IAW02344-0096,2004,1,Yes,06/14/2004,06/14/2004, , ,7.97, ,728, ,4724.3,H8,9.51, ,28.5, ,10, ,2.61, ,52.4,H8,48,H36,2, ,4241,H283,2383.1, ,271.4, ,22.4, ,1.5, ,365.4,H69,96385.2,H69,770.8,H69,23300,H36,32.3,H227,23.64, ,0.011,0.933,4241.931,37.118,4279.69,6919.32,6970.84,-51.52,6917.88,0.017,-0.37,26,784.47,730.32,2, , ,NO FIELD FORMS FOR VISIT 1 ,485.4166667,32.3875
IAW02344-0097,2004,1,Yes,07/29/2004,07/29/2004,1,F,8.28,H4,623, ,4882.8, ,43,H6,128.1,H15,10, ,1.77, ,56.32,H18,287, ,2.3,H209,4025.2,H210,2045.7, ,402.6, ,47.3, ,0.7, ,886.3, ,36902.4, ,463, ,8644, ,0,H201B,17.91, ,0.005,1.905,4593.766,82.071,4677.44,6521.36,6622.29,-100.92,6520.71,0.017,-0.77,17.69,730.72,656.72,1, , ,  ,30.1184669,2.073867596
IAW02344-0098,2004,1,Yes,07/21/2004,07/21/2004,1,F,7.73,H6,577,H12,3320.9,H49,6.56,H6,11.4,H19,15,H5,2.28, ,41.67,H6,15,H33,0.6,H184,3747.6,H218,1318.3, ,545.9,H222,44.8, ,4.4, ,790.6,H13,41118.4,H13,981.9,H13,9838,H33,19.7,H208,10.66,H9,0.019,0.537,3322.379,16.729,3339.4,5660.86,5775.36,-114.5,5656.6,0.015,-1,22.68,658.34,598.98,5, , ,  ,655.8666667,44.21333333
IAW02344-0099,2004,1,Yes,08/16/2004,08/16/2004, , ,8.24,H4,591,H8,3597.6,H8,8.04,H4,17.4,H16,10, ,3.41, ,42.08, ,24, ,0.4,H197,3053,H200,2420.9, ,764.3, ,50.9, ,1.7, ,1598,H8,8208.8, ,1030.1,H8,2214, ,0,H184B,14.26, ,0.006,1.738,3431.316,55.909,3488.74,6290.65,6249.53,41.13,6289.07,0.017,0.33,34.01,724.82,630.13,2, , ,  ,92.25,5.516666667
IAW02344-0100,2004,1,Yes,07/20/2004,07/20/2004,1,K,8.28,H5,636,H9,6012.6,H9,1.89, ,1.7,H15,10, ,2, ,70.95, ,81,H34,0,H218B,4241.9,H217,2452.2, ,195.7, ,60.5, ,0.9, ,394.1, ,21631.8, ,384.1, ,5288, ,0,H209B,14.4, ,0.005,1.905,5787.48,103.397,5892.39,6951,7019.96,-68.95,6950.22,0.018,-0.49,19.9,747.38,683.43,2, , ,  ,65.28395062,4.307407407
IAW02344-0102,2004,1,Yes,10/07/2004,10/07/2004,1,F,8.05, ,468, ,3402.1, ,3.37, ,6.4,H15,5, ,2.85, ,40.78, ,61,H32,0.6, ,3056.8, ,1281.9, ,385.5, ,46.5, ,1.1, ,452.4, ,26883.2, ,603.7, ,6250,H54,16.6, ,11.13, ,0.009,1.122,3311.344,34.836,3347.08,4771.73,4836.94,-65.21,4770.64,0.012,-0.68,28.4,535.74,493.84,1, , ,  ,102.4590164,7.108196721
IAW02344-0103,2004,1,Yes,06/22/2004,06/22/2004,1,F,8.08, ,1057, ,7190.8, ,66.4, ,104.2, ,15, ,6.18, ,72.79,H7,403,H34,0,B,7765.1,H275,2523, ,1260.6,H248,238.6, ,2.5, ,5307.9,H146,4674.8, ,352,H11,1938,H34,17.3,H219,25.79, ,0.008,1.202,5916.42,66.693,5983.91,11789.64,11719.59,70.05,11787.27,0.035,0.3,61.58,1401.37,1115.21,2,20x dilution needed for sulfate, ,  ,4.808933002,0.187096774
IAW02344-0104,2004,1,Yes,07/08/2004,07/08/2004,2,F,7.94,H5,767,H8,4530.8,H8,6.75,H5,17.2,H15,15,H4,2.48, ,53.59,H110,84, ,0.9,H197,4522.8,H266,2325.5, ,760.4,H232,35.9, ,1.1, ,1694.8,H26,71957.2,H26,922.8,H26,16588,H39,0,H203B,17.69, ,0.011,0.871,4332.16,35.377,4368.11,7645.63,8146.66,-501.03,7644.59,0.021,-3.17,24.63,917.32,806.93,2, , ,  ,197.4761905,13.81666667
IAW02344-0105,2004,1,Yes,06/30/2004,06/30/2004,1,F,8.03, ,682, ,5394.8, ,61.7, ,194.2,H19,10, ,2.54, ,63.79,H6,225, ,3.5,H205,3981,H274,2443.1, ,536.3,H240,58.4, ,2.4, ,574.7,H9,43914.6,H9,640.9,H9,10750, ,2.4,H211,15.94,H8,0.009,1.072,5176.264,52.004,5228.98,7021.07,7153.13,-132.06,7018.82,0.018,-0.93,25.25,777.17,710.89,2, , ,  ,47.77777778,3.148
IAW02344-0106,2004,1,Yes,06/29/2004,06/29/2004,1,F,7.91, ,415,H8,2458.4, ,47.8, ,98.2,H15,10, ,1.34, ,31.75, ,182, ,1.2, ,2375.9, ,1287, ,431.9,H241,15.9, ,1.5, ,267.7, ,66581.8,H10,305.9,H10,15925, ,0.1,H212,17.94,H9,0.012,0.813,2562.871,19.532,2583.03,4112.12,4230.65,-118.53,4110.66,0.01,-1.42,13.33,469.43,440.13,2, ,UNDER BRIDGE,  ,87.5,5.900549451
IAW02344-0108,2004,1,Yes,08/03/2004,08/03/2004,1,F,8.14, ,670,H8,5862.6,H8,3.73, ,15.1, ,10, ,2.59, ,69.03,H13,102, ,0,H204B,4007.5,H205,2877.6, ,318.7, ,39.3, ,3.6, ,830.9, ,14551.4, ,476.3, ,3638, ,0,H196B,13.24,H9,0.007,1.38,5619.86,72.735,5693.59,7246.39,7235.83,10.56,7243.05,0.019,0.07,25.82,784.91,704.97,2, , ,  ,35.66666667,2.300980392
IAW02344-0109,2004,1,Yes,09/06/2004,09/06/2004,1,E,8.1, ,534, ,3719.8, ,1.85,H4,14.7, ,0, ,2.11, ,43.63,H4,77, ,0,B,3503,H186,1787.6, ,329.3, ,38.4,H185,2.1, ,1106,H10,18817,H10,553.4,H10,4638, ,0,B,8.41,H8,0.008,1.259,3548.068,41.88,3590.97,5660.21,5554.19,106.02,5658.19,0.015,0.95,20.98,635.96,563.93,2, ,TRANSECT E IS X-POINT,  ,60.23376623,3.941558442
IAW02344-0110,2004,1,Yes,09/11/2004,09/11/2004,1,F,8.16, ,631, ,4662.9, ,3.65,H4,55, ,10,H4,2.17, ,49.69,H48,83, ,8.6, ,3474.4, ,2439.6, ,638.7, ,79.4, ,1.5, ,1511.3,H11,21836.4,H11,649.1,H11,5363,H80,0,B,12.34,H10,0.007,1.445,4046.77,54.844,4102.79,6633.5,6615.67,17.83,6632.09,0.018,0.13,21.65,753.61,658.66,3, , ,  ,64.61445783,4.243373494
IAW02344-0111,2004,1,Yes,08/18/2004,08/18/2004,1,F,8.31,H5,834,H8,4729.8,H9,5.88,H5,33.4,H15,15, ,4.33, ,51.77,H12,593, ,0.7, ,4509.5,H198,2744.3, ,1658.6,H195,211.1,H196,3.9, ,2300.6, ,42445.2, ,1430.3, ,10475, ,32.7,H182,15.37,H8,0.005,2.042,4223.478,80.852,4306.09,9126.94,8721.93,405.01,9123.44,0.023,2.27,43.15,1048.5,907.11,2, , ,  ,17.66441821,1.154468803
IAW02344-0112,2004,1,Yes,07/27/2004,07/27/2004,1,F,8.09,H6,653,H8,4837.4,H10,2.06,H7,2.5,H16,10, ,3.86, ,56.98,H20,45, ,0.8,H211,3885.5,H212,2555, ,323.1, ,37.7, ,1.9, ,701.2, ,54516.6, ,616, ,13138, ,5.3,H202,17.23, ,0.008,1.23,4632.733,53.439,4687.09,6803.17,6883.97,-80.81,6801.34,0.018,-0.59,38.45,761.59,694.1,2, , ,  ,291.9555556,19.54
IAW02344-0113,2004,1,Yes,06/23/2004,06/23/2004,1,F,8, ,874, ,5201.3, ,29.5, ,103.6, ,10, ,2.36, ,55.36,H6,153, ,0,B,6162.1,H244,2672.7,H288,588.1, ,36.9, ,2.6, ,2601.1,H60,85070.2,H80,538.8,H60,20250, ,0,H218B,19.32, ,0.01,1,4487.704,42.077,4530.47,9462.34,9042.8,419.54,9459.81,0.026,2.27,23.49,1090.48,935.31,1, , ,  ,132.3529412,8.967973856
IAW02344-0114,2004,1,Yes,06/28/2004,06/28/2004,1,F,6.97,H4,576, ,3533.1, ,5.07, ,7.4, ,15,H4,6.43, ,39.24,H4,557, ,0.3, ,3441.4,H239,1270.5, ,1523.8,H242,173.3, ,1.9, ,949, ,19864.8, ,1386.8, ,5863, ,2.2,H213,6.19, ,0.107,0.093,2631.669,2.303,2633.78,6411.02,5290.22,1120.8,6409.07,0.014,9.58,62.79,683.13,618.41,2, , ,  ,10.52603232,0.575224417
